,Passage
2818,Liechtenstein dynasty principality takes name rather viceversa comes Castle Liechtenstein faraway Lower Austria family possessed least 1140 thirteenth century 1807 onward centuries dynasty acquired vast swathes land predominantly Moravia Lower Austria Silesia Styria though cases territories held fief senior feudal lords particularly various lines Habsburg family several Liechtenstein princes served close advisors Thus without territory held directly Imperial throne Liechtenstein dynasty unable meet primary requirement qualify seat Imperial diet Reichstag
2819,family yearned greatly added power seat Imperial government would garner therefore searched lands acquire would unmittelbar held without feudal personage Holy Roman Emperor rights land time family able arrange purchase minuscule Herrschaft Lordship Schellenberg countship Vaduz 1699 1712 respectively Hohenems Tiny Schellenberg Vaduz possessed exactly political status required feudal lord comital sovereign suzerain Emperor
2820,Thereby January 23 1719 purchase duly made Charles VI Holy Roman Emperor decreed Vaduz Schellenberg united raised dignity FÃ¼rstentum principality name Liechtenstein honor true servant Anton Florian Liechtenstein date Liechtenstein became sovereign member state Holy Roman Empire testament pure political expediency purchases Princes Liechtenstein set foot new principality 120 years
2821,Schloss Vaduz overlooking capital still home prince Liechtenstein
2822,1806 Holy Roman Empire invaded Napoleon First French Empire event broad consequences Liechtenstein imperial legal political mechanisms broke Francis II Holy Roman Emperor abdicated imperial throne Empire dissolved result Liechtenstein ceased obligations feudal lord beyond borders Modern publications generally although incorrectly attribute Liechtensteins sovereignty events reality prince merely became suzerain well remaining sovereign lord July 25 1806 Confederation Rhine founded prince Liechtenstein member fact vassal hegemon styled protector French Emperor Napoleon Bonaparte dissolution Confederation October 19 1813
2823,Soon afterward Liechtenstein joined German Confederation June 20 1815 â August 24 1866 presided Emperor Austria
2824,1818 Johann granted constitution although limited nature 1818 also saw first visit member house Liechtenstein Prince Alois however first visit sovereign prince would occur 1842
2825,Liechtenstein also many advances nineteenth century 1836 first factory opened making ceramics 1861 Savings Loans Bank founded first cottonweaving mill Two bridges Rhine built 1868 1872 railway line across Liechtenstein constructed
2826,AustroPrussian War broke 1866 new pressure placed Liechtenstein peace declared Prussia accused Liechtenstein cause war miscount votes war Prussia led Liechtenstein refusing sign peace treaty Prussia remained war although actual conflict ever occurred one arguments suggested justify possible invasion Liechtenstein late 1930s
2827,end World War Liechtenstein first closely tied Austrian Empire later AustriaHungary however economic devastation caused WWI forced country conclude customs monetary union neighbor Switzerland Army disbanded 1868 financial considerations time dissolution AustroHungarian Empire argued Liechtenstein fief Holy Roman Empire supposedly still incarnated Liechtensteiner eyes abstract level person thendethroned AustroHungarian Emperor despite formal dissolution 1806 longer bound Austria emerging independent state consider legal successor Empire Liechtenstein thus last independent state Europe claim element continuity Holy Roman Empire
